,text,external_id,error,classifications,error_detail
39, mswilliamsflps thank you to everyone who joined our first grade information google hangout tonight we look forward to working with ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.876}]",
40,today google hangout visits included sensory scavenger hunt and speed race scavenger hunt said goodbye to ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.915}]",
41, insidethetube holy cow that is like complete quarantine date night let get on google hangout and play love co ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.807}]",
42,thank you to everyone who joined our first grade information google hangout tonight we look forward to working wi ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.881}]",
43,loving his outdoor google hangout with his class today sunshine vikingvoyage ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.612}]",
44, artgerm google hangout with friends and sketching while doing my social distancing think will end up with quite stack of sketch ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.724}]",
45,had meet amp greet tonight on google hangout with my department it was nice to meet my professors classes start ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.598}]",
46, angelasterritt is anyone used to not feeling super awkward on zoom google hangout etc by now ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.702}]",
47,if there was hell it would be me trying to end google hangout meeting on repeat ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.625}]",
48,today my family had google hangout to watch my sister get married in her fianc̩ hospital room miles from ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.577}]",
49, harrisontrust carmelhealth coachmatheson anytime ll be writing progress reports tomorrow so google hangout ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.609}]",
50, collalexis had our last google hangout of the year will truly miss my students it not goodbye it a see you later https ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.531}]",
51, doctorvig davidshoremd can we do google doc hangout instead of zoom meeting lol,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.688}]",
52, bluspacecommun mimslady and google is doing wonders with it is hangout app also saw the new live amp duo app ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.548}]",
53,mine was being able to have google hangout with some of my th graders that will be moving onto middle school nex ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.788}]",
54, coleyworld yea no zooms google hangout outs webex meetings on monday get to sleep in and not worry about if ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.632}]",
55,google hangout assembly today hi everyone today we will have another goggle hangout school ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.503}]",
56,come hangout with me gt join me on bigolive right now be sure google robinpowerroyal on bigolive ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.744}]",
57, bestbuddiestj we miss so much about our buddies especially having fun baking cookies amp brownies together at school so mug cakes ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.871}]",
58, on google hangout with few coworkers hangin out and drinking and one other person we work with is dialed in ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.639}]",
59, dmhsps_tdsb don miss it unstoppabletrac will be our guest speaker at our june hilliardpride google ss hangout at am we are ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.68}]",
60,two conference calls today via blue jeans am google hangout amp zoom gal and now this is in my head nonstop ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.674}]",
61,it wasn the best attended google hangout but it was nice to see faces and hear voices charlescityexperience ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.904}]",
62, kat in lite of recent events themightychloec is staying with me for the time being email us we are offering double google ha ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.652}]",
63,somehow convinced myself needed better recording gear not even sure what for yeti mic magewell thingy to tu ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.782}]",
64,trivia virtually tonight pm andrewsbarexam win kbc gift card free to play individ or team link to br ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.435}]",
65, nerdynick_ drunkenmstrpaul dskoopa kinszilla kelslewin swlovinist once the pandemic lifts we ll be good ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.875}]",
66, diehardmmapod ufc fight night recap amp hangout is up please share google spotify https co ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.534}]",
67, gaughranhe gm_hsc familybolton boltonathome jump on their google hangout sometime ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.903}]",
68, sheymouse punkmik alt_lv plus you can always pop into the tester hangout and say hi ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.655}]",
69, punkmik alt_lv plus you can always pop into the tester hangout and say hi ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.694}]",
70, mean like on google hangout or sth,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.699}]",
71, olimar eldergrizzly illinoisblue robertclinsdell felstedboy nah ah it lazy go to shit like shopping on bl ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.599}]",
72,today we played spy during our google hangout also love receiving these messages we all miss you too ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.991}]",
73,just did my first google hangout video chat amp it was way more seamless than zoom imo people should be using it more ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.757}]",
74, tcc_grouchy so just had my annual performance review done over google hangout by person who had to have someone else set up the ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.452}]",
75, samseyz hi everyone dressed up for google hangout bc it just be like that in quarantine ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.391}]",
76, fhvikings if you have questions or need help we will have google hangout on may th am to answer questions and help those that ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.672}]",
77,hi everyone dressed up for google hangout bc it just be like that in quarantine ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.637}]",
78,in recent episode of google webmaster hangout google advocate john mueller discussed negative seo as well as ot  ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.472}]",
79,reminds me of when dan and met we did google hangout for pad podcast day kept making snide remarks about ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.83}]",
80, dmhsps_tdsb don miss it unstoppabletrac will be our guest speaker at our june hilliardpride google ss hangout at am we are ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.68}]",
81, english honors final google hangout video good bye this lively class was an awesome way to end each day ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.994}]",
82, andysimpson kylecinvail christinamariek mollysearcy we use google hangouts once you book your time slot you  ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.715}]",
83,so just had my annual performance review done over google hangout by person who had to have someone else set ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.937}]",
84,,,True,,"Invalid text, empty strings are not allowed"
85, angelasterritt is anyone used to not feeling super awkward on zoom google hangout etc by now ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.702}]",
86,agh why is this google hangout connection so bad for my dance class ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.984}]",
