GOOGLE HANGOUT ,,,#LOCKDOWN,,,#ONLINECLASSES,,,#ONLINELEARNING,,,#VIRTUALINTERNSHIP,,,#ZOOM MEETING,
words,value,,words,value,,words,value,,words,value,,words,value,,words,value
year,9,,health,19,,health,5,,there,9,,presented,10,,say,2
there,9,,far,19,,schools,5,,chat,9,,morning,10,,our,2
teacher,9,,life,19,,techdevacademy,5,,over,9,,into,10,,quarantine,2
through,9,,would,19,,quhqsxri,5,,link,9,,classrooms,9,,june,2
special,9,,state,19,,looking,5,,improve,9,,welcome,9,,class,2
guest,9,,through,19,,healthy,5,,research,9,,going,9,,student,2
tonight,9,,together,19,,balance,5,,parents,9,,good,9,,during,2
now,9,,massajith,19,,uopeople,5,,their,9,,safety,9,,microsoft,2
morning,9,,morning,19,,experience,5,,sign,9,,world,9,,teams,2
phsfgg,9,,while,19,,assignment,5,,using,9,,excited,9,,government,2
some,9,,well,19,,through,5,,work,9,,social,9,,officials,2
brodytimm,9,,services,19,,future,5,,being,9,,covid,9,,wondering,2
pov,9,,than,19,,day,5,,gearing,9,,happening,9,,most,2
his,9,,open,18,,little,5,,informative,9,,see,9,,world,2
writing,9,,keep,18,,sage_indore,5,,info,9,,student,9,,always,2
been,9,,going,18,,sage,5,,tillieelvrum,9,,post,9,,wit,2
live,9,,pandemic,18,,institute,5,,opportunity,9,,person,9,,launch,2
last,9,,point,18,,organizing,5,,easy,9,,launched,9,,messenger,2
covid,8,,tomorrow,18,,youtube,5,,effectively,8,,downloadable,9,,let,2
platform,8,,need,18,,digital,5,,stay,8,,maths,9,,meet,2
student,8,,stayhome,18,,writing,5,,drcharlwood,8,,freely,9,,peer,2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Hangout,352,,,,,,,,,,,,,
,,Meeting,70,,,,,,,,,,,,,
,,Zoom,198,,,,,,,,,,,,,
,,learning,379,,,,,,,,,,,,,
